vault_id,bank_id,start_x,end_x,start_y,end_y,z
0,0,0,127,0,15,0
0,1,0,127,16,31,0
0,2,128,255,0,15,0
0,3,128,255,16,31,0
0,4,0,127,32,47,0
0,5,0,127,48,63,0
0,6,128,255,32,47,0
0,7,128,255,48,63,0
0,8,0,127,64,79,0
0,9,0,127,80,95,0
0,10,128,255,64,79,0
0,11,128,255,80,95,0
0,12,0,127,96,111,0
0,13,0,127,112,127,0
0,14,128,255,96,111,0
0,15,128,255,112,127,0
